"id","author","title","year","file","genres","barcode"
57,"Weinberg, G & Mares, J.","Traction: How Any Startup Can Achieve Explosive Customer Growth",2015,"","Business Strategy",57
95,"Logan, D., King, J & Fischer-wright, H.","Tribal Leadership",2008,"","Leadership,Management",95
4,"Trump, D.","Trump: The Art of the Deal",1987,"","Biography,Autobiography",4
190,"Marquet, L D.","Turn the Ship Around: A True Story of Turning Followers Into Leaders",2015,"","Personal Development",9781591846406\

269,"Karnazes, D.","Ultra marathon Man: Confessions of an All-Night Runner",2007,"","Sport",269
6,"Anderson, D.","Up Your Business! 7 Steps to Fix, Build or Stretch Your Organization",2007,"","Business Strategy",9780470068564\

230,"Shafik, D","Upgrading to PHP 7",2015,"","PHP",230
37,"Kaufman, R.","Uplifting Service: The Proven Path to Delighting Your Customers, Colleagues, and Everyone Else You Meet",2012,"","Business Strategy",37
115,"Cohn, n.","User Stories Applied",2015,"","Leadership,Management",115
64,"Greenwald B, Kahn, J. Sonkin, P.","Value Investing: From Graham to Buffett and Beyond",2004,"","Business Strategy",64
22,"Feld, B. & Mendelson, J.","Venture Deals",2013,"","Business Strategy",9781118443613\

212,"Brown, S.","Visual Basics 6 Complete",1999,"","C# & .Net",9780782124699\

280,"Heilmann, C. & Francis, M.","Web Development Solutions: Ajax, APIs, Libraries, and Hosted Services Made Easy",2007,"","Web Development",9781590598061\

71,"Goto, K. & Cotler, E.","Web ReDesign 2.0: Workflow That Works",2005,"","Design",9780735714335\

68,"Adams, C. et.al.","Web Standards Creativity: Innovations in Web Design with XHTML, CSS, and DOM Scripting",2007,"","Design",9781590598030\

27,"Goldsmith, M.","What Got You Here Won't Get You There",2007,"","Business Strategy",9781401301309\

155,"Gladwell, M.","What the Dog Saw",2009,"","Personal Development",155
11,"Broughton, P.","What They Teach You at Harvard Business School",2008,"","Business Strategy",11
103,"Smart, G. & Street, R.","Who",2008,"","Leadership,Management",9780345504197\

307,"Johnson, S.","Who Moved My Cheese?",2015,"","Personal Development",9780399144462
164,"Johnson, S.","Who Moved My Cheese?",2015,"","Personal Development",9780399144462\

177,"Reynolds, S.","Why People Fail: The 16 Obstacles to Success and How You Can Overcome Them",2010,"","Personal Development",177
58,"Welch, J. & S.","Winning",2005,"","Business Strategy",9780007197675\

123,"Goodman, A.","Winning Results with Google Adwords",2009,"","Marketing & Sales",9780071496568\

111,"Jamison, S.","Wooden on Leadership",2005,"","Leadership,Management",9780071453394\

92,"Lasater, I.","Words That Work In Business",2010,"","Leadership,Management",9781892005014\

10,"Bock, Laszlo","Work Rules - Insights from inside Google that will transform how you live and lead",2015,"","Business Strategy",9781455554799\

170,"McGrath, J.","You Don't Have To Be Born Brilliant: How to Design a Magnificent Life",2000,"","Personal Development",170
98,"Monteiro, M.","You're My Favourite Client",2014,"","Leadership,Management",98
198,"Rock, D.","Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",2009,"","Productivity",9780061771293\
\

54,"Thiel, P.","Zero to One",2014,"","Business Strategy",54
