"id","author","title","year","file","genres","barcode"
100,"Rubin, K.","Essential Scrum",2015,"","Leadership,Management",100
81,"Bossidy, L. & Charan, R.","Execution: The Discipline of Getting Things Done",2002,"","Leadership,Management",9780609610572\

35,"Ismail, S.","Exponential Organisations",2014,"","Business Strategy",9781626814233\

109,"Willink, J. & Babin, L.","Extreme Ownership - How U.S Navy Seals Lead and Win",2015,"","Leadership,Management",9781250067050\

62,"Watson, T. & Petre, P.","Father, Son & Co. My Life at IBM and Beyond",2000,"","Business Strategy",62
96,"Lundin, S., Paul, H. & Christensen, J.","Fish! A Remarkable Way to Boost Morale and Improve Results",2000,"","Leadership,Management",9780340819807\

133,"McDonald, K.","Flat World Navigation: Collaboration and Networking in the Global Digital Economy",2015,"","Marketing & Sales",9780749473938\

239,"Black, R., Veenendaal, E., Graham, D.","Foundations of Software Testing: ISTQB Certification",2015,"","Misc Software",239
44,"Margo, J.","Frank Lowy: The Inside Story of the Man Who Powers Westfield",2001,"","Business Strategy",44
288,"Holmes, S.","Getting MEAN with Mongo, Express Angular, and Node",2017,"","Web Development",9781617292033\

23,"Fisher, R. & Ury, W.","Getting to Yes : Negotiating an Agreement Without Giving In",1992,"","Business Strategy",23
49,"Rumelt, R.","Good Strategy, Bad Strategy: The Difference and why it matters",2011,"","Business Strategy",9780307886231\

20,"Collins, J.","Good to Great: Why Some Companies Take the Leap and Others Don't",2001,"","Business Strategy",20
19,"Collins, J. & Hansen, M.","Great by Choice",2011,"","Business Strategy",9780062120991\

187,"Duckworth A.","Grit",2016,"","Personal Development",9781785040191\

24,"Ford, R. & Wiedemann, J.","Guidelines for Online Success: The Dos and Donts of the Internet from the best interactive agencies around the world",2008,"","Business Strategy",9783822823675\

90,"Grant, J._","Hiring and Firing: The smart business guide to Australian employment law",2006,"","Leadership,Management",9781875889846
176,"Rath, T.","How Full is Your Bucket?",2007,"","Personal Development",176
50,"Schmidt, Eric & Rosenberg Jonathan","How Google Works",2014,"","Business Strategy",50
119,"Fox, Jeffrey J.","How To Become A Rainmaker. The Rules for Getting and Keeping Customers and Clients",2000,"","Marketing & Sales",9780786865956\

192,"Allen, D.","How to Get Things Done: The Art of Stress-Free Productivity",2001,"","Productivity",9780143000181\

151,"Carnegie, D.","How To Win Friends And Influence People",1936,"","Personal Development",151
188,"Stanton B.","Humans of New York",0,"","Personal Development",188
39,"Kegan, R. & Lahey, L.","Immunity to Change: How to Overcome it and Unlock Your Potential in Yourself and Your Organization",2009,"","Business Strategy",9781422117361\

61,"Peters, T. & Waterman R.","In Search of Excellence: Lessons from America's Best-Run Companies",2015,"","Business Strategy",9780060548780\

152,"Cialdini, R.","Influence: The Psychology of Persuasion",2007,"","Personal Development",9780061241895\

153,"Cialdini, R.","Influence: The Psychology of Persuasion",2007,"","Personal Development",153
284,"Schwalbe, K.","Information Technology Project Management",2006,"","Web Development","9780619215262-1

"
308,"Schwalbe, K.","Information Technology Project Management",2006,"","Web Development",9780619215262\

67,"Morris, Kief","Infrastucture as Code - Managing servers in the cloud",2016,"","Cloud Platforms",9781491924358\

8,"Berger, R., Dutta, S., Raffel, T., Samuels, G.","Innovating at the Top: How Global CEOs Drive Innovation for Growth and Profit",2009,"","Business Strategy",9780230575738\

143,"Sugars, B","Instant Cashflow",2006,"","Marketing & Sales",9780071466592\

309,"Sugars, B.","Instant Referrals: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780975166710\

140,"Sugars, B.","Instant Referrals: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780975166710\

142,"Sugars, B.","Instant Repeat Business: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780958093231\

139,"Sugars, B.","Instant Sales: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780958093224\

310,"Sugars, B.","Instant Systems: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780958093286\

141,"Sugars, B.","Instant Systems: The Keys to Multiplying Your Business Profits",2004,"","Marketing & Sales",9780958093286\

245,"Hawryszkiewycz, I.","Introduction to Systems Analysis and Design",2000,"","Misc Software",9781740092807\

268,"Armstrong, L.","It's not about the bike: My Journey Back to Life",2000,"","Sport",268
285,"Stefanov, S.","JavaScript Patterns",2010,"","Web Development",285
259,"Wyke, R. & Gilliam, J.","JavaScript Unleashed",2002,"","Misc Software",9780672324314\

238,"Ambler, T & Cloud, N.","Javascript: Frameworks for Modern Web Dev",2015,"","Misc Software",238
252,"Smart, J.","Jenkins: The Definitive Guide",2011,"","Misc Software",252
131,"Li, P.","JIRA Agile Essentials",2015,"","Marketing & Sales",131
254,"Spolsky, J.","Joel on Software (And on Diverse and Occasionally Related Matters that will Prove of Interest to Software Developers, Designers, and Manages, and to Those Who, Whether by Good Fortune, or Ill Luck, Work with Them in Some Capacity)",2004,"","Misc Software",9781590593899\

104,"Smith, P.","Lead With A Story",2012,"","Leadership,Management",104
82,"Blanchard, K.","Leading at a Higher Level",2010,"","Leadership,Management",9780137011704\

235,"n/a","Learning ECMAScript 6",2015,"","Javascript",235
304,"Willett, J.","Life of Galileo",1980,"","Misc",304
162,"Jeffrey Gitomer","Little Red Book of Selling",2006,"","Personal Development",162
293,"Grassman, Tremblay","Logic and Discrete Mathematics: A Computer Science Perspective",1996,"","Misc",293
2,"Mandela, N.","Long Walk to Freedom",2011,"","Biography,Autobiography",2
1,"Branson, R.","Losing My Virginity",1998,"","Biography,Autobiography",1
159,"Harris, S.","Lying",2013,"","Personal Development",159
264,"Chambers, Mark L.","MacBook For Dummines (5th Edition)",0,"","Misc Software",264
262,"n/a","Machine learning with R",0,"","Misc Software",262
265,"Boyd, BarbaraHutsko, Joe","Macs All-In-One (4th Edition)",0,"","Misc Software",265
227,"MacGregor,_Allan","Magento PHP Developer's Guide - PDF",2013,"","PHP",227
249,"Nayrolles, M","Magento Site Performance Optimization - Leverage the power of Magento to speed up your website",2014,"","Misc Software",9781783287055\

291,"Frankl, V.","Man's Search For Meaning",1959,"","Misc",291
97,"Maister, D.","Managing the Professional Service Firm",1993,"","Leadership,Management",9780684834313\

128,"Koetler, P., Armstrong, G., Brown, L., Stewart, A.","Marketing",1998,"","Marketing & Sales",9780724806867\

124,"Hiam, A.","Marketing For Dummies",2014,"","Marketing & Sales",9781118880807\

136,"Rix, P.","Marketing: A Practical Approach",2001,"","Marketing & Sales",9780074708583\

233,"n/a","Mastering JavaScript Promises",0,"","Javascript",233
234,"n/a","Mastering jQuery",0,"","Javascript",234
257,"Williams, B.","Mastering Magento",2012,"","Misc Software",9781849516945\

29,"Harnish, V.","Mastering the Rockefeller Habits - What you Must Do to Increase the Value of Your Growing Firm",2002,"","Business Strategy",9780978774943\

51,"Semler, R._","Maverick: The Success Story Behind the World's Most Unusual Workplace",1993,"","Business Strategy",51
208,"Shepherd, G.","Microsoft Asp.Net 2.0: Step by Step",2005,"","C# & .Net",9780735622012\

199,"Harvey, Greg PhD","Microsoft Excel 2013 For Dummies",0,"","Productivity",9781118510124\

165,"Kehoe, J.","Mind Power: Into the 21st Century",1996,"","Personal Development",9780973983005\

225,"Hartjes, Chris","Minimum Viable Tests",2016,"","PHP",225
70,"Ertel, C. & Solomo, L.","Moments of Impact: How to Design Strategic Conversations that Accelerate Change",2014,"","Design",9781451697629\

83,"Carlzon, J","Moments of Truth",1989,"","Leadership,Management",9780060915803\

300,"Levine, J.& Young, M.","More Internet for Dummies",1994,"","Misc",9781568841649\

255,"Spolsky, J.","More Joel on Software: Further Thoughts on Diverse and Occasionally Related Matters that will Prove of Interest to Software Developers, Designers, and Managers, and to Those Who, Whether By Good Fortune or Ill Luck, Work with Them in Some Capacity",2008,"","Misc Software",9781430209874\

298,"Kinsmen, J.","Mr & Mrs Smith Hotel collection: European Coast and Country",2006,"","Misc",298
110,"Wiseman, L. & McKeown, G.","Multipliers: How the Best Leaders Make Everyone Smarter",2010,"","Leadership,Management",110
178,"Robbins, A.","Notes From a Friend: A Simple, Step-by-step a guide to Taking Control of Your Life!",1991,"","Personal Development",178
113,"Osherove, R.","Notes to a software team leader",2016,"","Leadership,Management",113
181,"Sunstein, C. & Thaler, R.","Nudge: Improving decisions about health, wealth and happiness",2008,"","Personal Development",181
25,"Freiburg, K. & J.","Nuts! Southwest Airlines' Crazy Recipe for Business and Personal Success",1998,"","Business Strategy",9780767901840\

228,"Lavin, P.","Object-Oriented PHP: Concepts, Techniques, and Code",2006,"","PHP",228
256,"Stallings, W.","Operating Systems: Internals and Design Principles",2001,"","Misc Software",9780130329868\

168,"Kotter, J.","Our Iceberg is Melting: Changing and Succeeding Under Any Conditions",2005,"","Personal Development",168
154,"Gladwell, M.","Outliers: The Story of Success",2008,"","Personal Development",9780141036243\

311,"","Pantone Color Specifier: Coated chips",0,"","",9781881509820
74,"n/a","Pantone Color Specifier: Coated chips",0,"","Design",74
312,"","Pantone Color Specifier: Uncoated chips",0,"","",9781881509820
75,"n/a","Pantone Color Specifier: Uncoated chips",0,"","Design",75
221,"Castro, E.","Perl and CGI for the World Wide Web",1999,"","Perl",9780201353587\

222,"Holzner, S.","Perl Core Language: The Essential Guide to Perl Programming",1999,"","Perl",9781576104262\

15,"Choudary, S.P.","Platform Scale",2015,"","Business Strategy",15
201,"Crowe, A.","PMI-ACP Exam Prep",2012,"","C# & .Net",9781932735581\

172,"Miller, J. A.","Power House CAA - The Untold Stories of Hollywood's Creative Artists Agency",2016,"","Personal Development",9780062441379\

290,"Doar, M. B.","Practical JIRA Administration",2011,"","Misc",9781449305413\

48,"Ross, A & Tyler, M.","Predictable Revenue",2012,"","Business Strategy",9780984380213\

147,"Ariely, D.","Predictably Irrational - The hidden forces that shape our decisions",2008,"","Personal Development",147
69,"Beaird, J.","Principles of Beautiful Web Design",2007,"","Design",69
202,"Freeman, A.","Pro ASP .Net MVC 5",2013,"","C# & .Net",202
203,"Lakshmiraghavan, B.","Pro ASP.NET Web API Security",2013,"","C# & .Net",203
209,"Troelsen, A.","Pro C# 2008 and the .Net 3.5 Platform",2008,"","C# & .Net",9781590598849\

231,"Snyder, C. & Southwell, M.","Pro PHP Security",2005,"","PHP",9781590595084
